"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Изменение мема","33","0","Эндпоинт тесты","0"
"0","","1","Безопасность","5","0","Эндпоинт тесты","0"
"0","","0","Удаление мема","3","0","API тесты","0"
"0","","0","Поиск мема","8","0","Эндпоинт тесты","0"
"0","","0","Удаление мема","9","0","Эндпоинт тесты","0"
"0","","0","Создание мема","24","0","Эндпоинт тесты","0"
"0","","0","Изменение мема","4","0","API тесты","0"
"0","","0","Создание мема","2","0","API тесты","0"
